Reference,Body
Not matched,"And the woman said, ""The"
Not matched,"""I don't know,"" he replied."
Not matched,"She replied, ""I'm running away"
Not matched,"""Yes,"" they replied, ""do as"
Not matched,"""There, in the tent,"" he"
Not matched,"But he replied, ""No, you"
Not matched,"He replied, ""I will not"
Not matched,"He answered, ""I will not"
Not matched,"He answered, ""I will not"
Not matched,"He replied, ""I will not"
Not matched,"He answered, ""I will not"
Not matched,"""No,"" they said. ""We would"
Not matched,"""Here I am,"" he answered."
Not matched,"And he replied, ""Here I"
Not matched,"Isaac said, ""The fire and"
Not matched,"He replied, ""Here I am."""
Not matched,"So Laban said, ""Please speak."""
Not matched,When they got up in
Not matched,"She replied, ""I will go."""
Not matched,"The servant answered, ""It is"
Not matched,"Isaac answered him, ""Because I"
Not matched,"And he answered, ""Here I"
Not matched,"And he answered, ""Here I"
Not matched,"He replied, ""Because the Lord"
Not matched,"And he replied, ""I am."""
Not matched,"He answered, ""I am Esau"
Not matched,"""We're from Haran,"" they answered."
Not matched,"They answered, ""We know him."""
Not matched,"""Yes,"" they said, ""and here"
Not matched,After Jacob had stayed with
Not matched,"""Well then,"" Rachel said, ""he"
Not matched,"And Jacob said, ""You don't"
Not matched,35 That day Laban removed
Not matched,"But Jacob said, ""I will"
Not matched,"""Jacob,"" he replied."
Not matched,"But he answered, ""Why do"
Not matched,"He answered, ""The children God"
Not matched,"""To find favor with you,"
Not matched,"But he replied, ""Why do"
Not matched,Jacob had twelve sons:
Not matched,"At seventeen years of age,"
Not matched,"""I'm ready,"" Joseph replied."
Not matched,"She said, ""What will you"
Not matched,"But she said, ""Only if"
Not matched,"She answered, ""Your signet ring,"
Not matched,"""There has been no cult"
Not matched,"""Bring her out,"" Judah said,"
Not matched,Now Joseph was well-built and
Not matched,"Then Joseph said to them, ""Don't"
Not matched,"""Where do you come from?"
Not matched,"""From the land of Canaan"
Not matched,"And Jacob replied, ""Here I"
Not matched,"They said to Pharaoh, ""Your"
Not matched,"Joseph answered, ""I will do"
Not matched,"So Israel said, ""Bring them"
Genesis 1:2,2 Now the earth was
Genesis 1:6,"6 Then God said, ""Let"
Genesis 1:9,"9 Them God said, ""Let"
Genesis 1:14,"14 Then God said, ""Let"
Genesis 1:20,"20 Then God said, ""Let"
Genesis 1:24,"24 Then God said, ""Let"
Genesis 1:26,"26 Then God said, ""Let"
Genesis 2:8,8 The Lord God planted
Genesis 2:10,10 A river went out
Genesis 2:15,15 The Lord God took
Genesis 2:24,24 This is why a
Genesis 3:2,2 The woman said to
Genesis 3:4,"4 ""No! You will certainly"
Genesis 3:10,"10 And he said, ""I"
Genesis 3:11,"11 Then he asked, ""Who"
Genesis 3:12,"12 The man replied, ""The"
Genesis 3:13,13 So the Lord God
Genesis 3:14,14 So the Lord God
Genesis 3:16,16 He said to the
Genesis 3:17,17 And he said to
Genesis 3:20,20 The man named his
Genesis 2:22,"22 The Lord God said,"
Genesis 4:6,6 Then the Lord said
Genesis 4:8,8 Cain said to his
Genesis 4:9,9 Then the Lord said
Genesis 4:10,"10 Then he said, ""What"
Genesis 4:13,13 But Cain answered the
Genesis 4:15,15 Then the Lord replied
Genesis 4:23,23 Lamech said to his
Genesis 4:25,25 Adam was intimate with
Genesis 5:3,3 Adam was 130 years
Genesis 5:6,6 Seth was 105 years
Genesis 5:9,9 Enosh was 90 years
Genesis 5:12,12 Kenan was 70 years
Genesis 5:15,15 Mahalalel was 65 years
Genesis 5:18,18 Jared was 162 years
Genesis 5:21,21 Enoch was 65 years
Genesis 5:25,25 Methuselah was 187 years
Genesis 5:28,28 Lamech was 182 years
Genesis 6:32,32 Noah was 500 years
Genesis 6:11,11 Now the earth was
Genesis 6:14,"14 ""Make yourself an ark"
Genesis 6:17,"17 ""Understand that I am"
Genesis 7:6,6 Noah was six hundred
Genesis 7:17,17 The flood continued for
Genesis 8:5,5 The water continued to
Genesis 8:20,20 Then Noah built an
Genesis 9:8,8 Then God said to
Genesis 9:12,"12 And God said, ""This"
Genesis 9:20,"20 Noah, as a man"
Genesis 9:24,24 When Noah awoke from
Genesis 9:28,28 Now Noah lived 350
Genesis 10:2,"2 Japheth's sons: Gomer, Magog,"
Genesis 10:6,"6 Ham's sons: Cush, Mizraim,"
Genesis 10:8,"8 Cush fathered Nimrod, who"
Genesis 10:13,13 Mizraim fathered the people
Genesis 10:15,15 Canaan fathered Sidon his
Genesis 10:20,20 These are Ham's sons
Genesis 10:21,"21 And Shem, Japheth's older"
Genesis 10:23,"23 Aram's sons: Uz, Hul,"
Genesis 10:24,"24 Arpachshad fathered Shelah, and"
Genesis 10:31,31 These are Shem's sons
Genesis 11:32,32 These are the clans
Genesis 6:5,5 Then the Lord came
Genesis 11:27,27 These are the family
Genesis 11:31,31 Terah took his son
Genesis 12:4,"4 So Abram went, as"
Genesis 12:17,17 But the Lord struck
Genesis 13:5,"5 Now Lot, who was"
Genesis 13:8,8 So Abram said to
