Reference,Subhead,Match Status,X-Coord,Page,Even/Odd,Location
Genesis 1:2,The Creeation,COULD NOT MATCH,,,,ERROR
Genesis 2:3,Man and Woman in the Garden,MATCH,"(209.91929626464844, 230.48089599609375, 324.81390380859375, 240.95289611816406)",1,ODD,ERROR
Genesis 3:25,The Temptation and the Fall,MATCH,"(17.00790023803711, 110.48088836669922, 124.39691162109375, 120.95288848876953)",2,EVEN,ERROR
Genesis 3:7,Sin's Consequences,MATCH,"(17.00790023803711, 278.48089599609375, 86.4614028930664, 288.952880859375)",2,EVEN,ERROR
Genesis 4:24,Cain Murders Abel,MATCH,"(198.58070373535156, 206.48089599609375, 267.8812255859375, 216.95289611816406)",2,EVEN,ERROR
Genesis 4:16,The Line of Cain,MATCH,"(198.58070373535156, 542.4808959960938, 256.8652038574219, 552.952880859375)",2,EVEN,ERROR
Genesis 5:26,The Line of Seth,MATCH,"(28.346500396728516, 198.48089599609375, 87.0050048828125, 208.95289611816406)",3,ODD,ERROR
Genesis 6:32,Sons of God and Daughters of Mankind,MATCH,"(209.91929626464844, 22.48088836669922, 355.473388671875, 32.95288848876953)",3,ODD,ERROR
Genesis 6:4,Judgment Decreed,MATCH,"(209.91929626464844, 126.48088836669922, 278.41229248046875, 136.95289611816406)",3,ODD,ERROR
Genesis 6:8,God Warns Noah,MATCH,"(209.91929626464844, 214.48089599609375, 270.3883056640625, 224.95289611816406)",3,ODD,ERROR
Genesis 7:22,Entering the Ark,MATCH,"(209.91929626464844, 502.48089599609375, 273.9413146972656, 512.952880859375)",3,ODD,ERROR
Genesis 8:24,The Flood Recedes,MATCH,"(17.00790023803711, 406.48089599609375, 83.92839813232422, 416.952880859375)",4,EVEN,ERROR
Genesis 8:14,The Lord's Promise,MATCH,"(198.58070373535156, 118.48088836669922, 267.6772155761719, 128.95289611816406)",4,EVEN,ERROR
Genesis 9:22,God's Covenant with Noah,MATCH,"(198.58079528808594, 310.48089599609375, 296.5178527832031, 320.952880859375)",4,EVEN,ERROR
Genesis 9:17,Prophecies about Noah's Family,MATCH,"(28.346500396728516, 86.48088836669922, 146.61549377441406, 96.95288848876953)",5,ODD,ERROR
Genesis 10:29,The Table of Nations,MATCH,"(28.346500396728516, 310.48089599609375, 105.39900207519531, 320.952880859375)",5,ODD,ERROR
Genesis 11:32,The Tower of Babylon,MATCH,"(209.91929626464844, 174.48089599609375, 290.79681396484375, 184.95289611816406)",5,ODD,ERROR
Genesis 11:9,From Shem to Abram,MATCH,"(209.91929626464844, 358.48089599609375, 286.4023132324219, 368.952880859375)",5,ODD,ERROR
Genesis 12:32,The Call of Abram,MATCH,"(17.00790023803711, 110.48088836669922, 84.63389587402344, 120.95288848876953)",6,EVEN,ERROR
Genesis 12:9,Abram in Egypt,MATCH,"(17.00790023803711, 382.48089599609375, 73.29490661621094, 392.952880859375)",6,EVEN,ERROR
Genesis 13:20,Abram and Lot Separate,MATCH,"(198.58070373535156, 22.48088836669922, 289.27569580078125, 32.95288848876953)",6,EVEN,ERROR
Genesis 14:18,Abram Rescues Lot,MATCH,"(198.58079528808594, 374.48089599609375, 267.59228515625, 384.952880859375)",6,EVEN,ERROR
Genesis 14:16,Melchizedek's Blessing,MATCH,"(28.346500396728516, 158.48089599609375, 114.02649688720703, 168.95289611816406)",7,ODD,ERROR
Genesis 15:24,The Abrahamic Covenant,MATCH,"(28.346500396728516, 342.48089599609375, 122.1865005493164, 352.952880859375)",7,ODD,ERROR
Genesis 16:21,Hagar and Ishmael 16,COULD NOT MATCH,,,,ERROR
Genesis 17:16,Covenant Circumcision,MATCH,"(209.91940307617188, 542.4808959960938, 296.262451171875, 552.952880859375)",7,ODD,ERROR
Genesis 18:27,Abraham's Three Visitors,MATCH,"(17.00790023803711, 526.4808959960938, 111.6978988647461, 536.952880859375)",8,EVEN,ERROR
Genesis 18:8,Sarah Laughs,MATCH,"(198.58070373535156, 134.48089599609375, 249.61473083496094, 144.95289611816406)",8,EVEN,ERROR
Genesis 18:15,Abraham's Plea for Sodom,MATCH,"(198.58070373535156, 294.48089599609375, 296.9512634277344, 304.952880859375)",8,EVEN,ERROR
Genesis 19:33,The Destruction of Sodom and Gomorrah,MATCH,"(28.346500396728516, 134.48089599609375, 181.6184844970703, 144.95289611816406)",9,ODD,ERROR
Genesis 19:29,The Origin of Moab and Ammon,MATCH,"(209.91920471191406, 214.48089599609375, 325.37481689453125, 224.95289611816406)",9,ODD,ERROR
Genesis 20:38,Sarah Rescued from Abimelech,MATCH,"(209.91929626464844, 422.48089599609375, 325.400390625, 432.952880859375)",9,ODD,ERROR
Genesis 21:18,The Birth of Isaac,MATCH,"(17.00790023803711, 270.48089599609375, 83.66490173339844, 280.952880859375)",10,EVEN,ERROR
Genesis 21:7,Hagar and Ishmael Sent Away,MATCH,"(17.00790023803711, 390.48089599609375, 127.91590118408203, 400.952880859375)",10,EVEN,ERROR
Genesis 21:21,Abraham's Covenant with Abimelech,MATCH,"(198.58070373535156, 94.48088836669922, 336.6293029785156, 104.95288848876953)",10,EVEN,ERROR
Genesis 22:34,The Sacrifice of Isaac,MATCH,"(198.58070373535156, 342.48089599609375, 278.3532409667969, 352.952880859375)",10,EVEN,ERROR
Genesis 22:19,Rebekah's Family,MATCH,"(28.346500396728516, 246.48089599609375, 91.86700439453125, 256.952880859375)",11,ODD,ERROR
