Reference,Subhead,Match Status,X-Coord,Page,Even/Odd
Genesis 1:2,The Creation,MATCH,"(28.346500396728516, 62.48088836669922, 76.65200805664062, 72.95288848876953)",1.0,ODD
Genesis 2:3,Man and Woman in the Garden,MATCH,"(209.91929626464844, 230.48089599609375, 324.81390380859375, 240.95289611816406)",1.0,ODD
Genesis 3:25,The Temptation and the Fall,MATCH,"(17.00790023803711, 110.48088836669922, 124.39691162109375, 120.95288848876953)",2.0,ODD
Genesis 3:7,Sin's Consequences,COULD NOT MATCH,,,
Genesis 4:24,Cain Murders Abel,MATCH,"(198.58070373535156, 206.48089599609375, 267.8812255859375, 216.95289611816406)",2.0,ODD
Genesis 4:16,The Line of Cain,MATCH,"(198.58070373535156, 542.4808959960938, 256.8652038574219, 552.952880859375)",2.0,ODD
Genesis 5:26,The Line of Seth,MATCH,"(28.346500396728516, 198.48089599609375, 87.0050048828125, 208.95289611816406)",3.0,ODD
Genesis 6:32,Sons of God and Daughters of Mankind,MATCH,"(209.91929626464844, 22.48088836669922, 355.473388671875, 32.95288848876953)",3.0,ODD
Genesis 6:4,Judgment Decreed,MATCH,"(209.91929626464844, 126.48088836669922, 278.41229248046875, 136.95289611816406)",3.0,ODD
Genesis 6:8,God Warns Noah,MATCH,"(209.91929626464844, 214.48089599609375, 270.3883056640625, 224.95289611816406)",3.0,ODD
Genesis 7:22,Entering the Ark,MATCH,"(209.91929626464844, 502.48089599609375, 273.9413146972656, 512.952880859375)",3.0,ODD
Genesis 8:24,The Flood Recedes,MATCH,"(17.00790023803711, 406.48089599609375, 83.92839813232422, 416.952880859375)",4.0,ODD
Genesis 8:14,The Lord's Promise,COULD NOT MATCH,,,
Genesis 9:22,God's Covenant with Noah,COULD NOT MATCH,,,
Genesis 9:17,Prophecies about Noah's Family,COULD NOT MATCH,,,
Genesis 10:29,The Table of Nations,MATCH,"(28.346500396728516, 310.48089599609375, 105.39900207519531, 320.952880859375)",5.0,ODD
Genesis 11:32,The Tower of Babylon,MATCH,"(209.91929626464844, 174.48089599609375, 290.79681396484375, 184.95289611816406)",5.0,ODD
Genesis 11:9,From Shem to Abram,MATCH,"(209.91929626464844, 358.48089599609375, 286.4023132324219, 368.952880859375)",5.0,ODD
Genesis 12:32,The Call of Abram,MATCH,"(17.00790023803711, 110.48088836669922, 84.63389587402344, 120.95288848876953)",6.0,ODD
Genesis 12:9,Abram in Egypt,MATCH,"(17.00790023803711, 382.48089599609375, 73.29490661621094, 392.952880859375)",6.0,ODD
